,Unnamed: 0,Year,T_Anomaly,Snow_Percent,Snow_Decimals,Chlorophyll
0,0,1976,0.0,100%,1.0,0.561425624
1,1,1977,0.056666667,98%,0.982037438,0.55605518
2,2,1978,0.166666667,96%,0.964417701,0.550736107
3,3,1979,0.276666667,95%,0.94713383,0.545467916
4,4,1980,0.27,93%,0.930179015,0.540250118
5,5,1981,0.283333333,91%,0.913546589,0.535082233
6,6,1982,0.376666667,90%,0.8972300320000001,0.529963782
7,7,1983,0.396666667,88%,0.881222962,0.524894293
8,8,1984,0.55,87%,0.8655191329999999,0.5198732970000001
9,9,1985,0.663333333,85%,0.850112434,0.514900331
10,10,1986,0.776666667,83%,0.834996882,0.5099749339999999
11,11,1987,0.893333333,82%,0.8201666240000001,0.505096653
12,12,1988,0.843333333,81%,0.805615931,0.500265036
13,13,1989,0.82,79%,0.791339195,0.49547963700000003
14,14,1990,0.78,78%,0.7773309279999999,0.490740014
15,15,1991,0.936666667,76%,0.763585758,0.486045729
16,16,1992,1.026666667,75%,0.750098429,0.481396348
17,17,1993,1.16,74%,0.7368637929999999,0.47679144100000004
18,18,1994,1.293333333,72%,0.723876813,0.472230584
19,19,1995,1.436666667,71%,0.711132559,0.467713355
20,20,1996,1.553333333,70%,0.698626203,0.46323933700000003
21,21,1997,1.676666667,69%,0.686353021,0.458808115
22,22,1998,1.87,67%,0.6743083870000001,0.45441928200000004
23,23,1999,1.976666667,66%,0.662487773,0.450072431
24,24,2000,2.006666667,65%,0.650886747,0.445767161
25,25,2001,2.103333333,64%,0.639500967,0.44150307299999997
26,26,2002,2.316666667,63%,0.628326187,0.437279775
27,27,2003,2.48,62%,0.617358246,0.433096876
28,28,2004,2.73,61%,0.606593071,0.428953989
29,29,2005,2.816666667,60%,0.596026674,0.424850732
30,30,2006,2.796666667,59%,0.5856551520000001,0.420786726
31,31,2007,2.701268817,58%,0.5754746820000001,0.416761595
32,32,2008,2.794829301,57%,0.56548152,0.41277496700000005
33,33,2009,2.888389785,56%,0.555672,0.408826474
34,34,2010,2.981950269,55%,0.546042535,0.404915751
35,35,2011,3.075510753,54%,0.536589609,0.40104243799999995
36,36,2012,3.169071237,53%,0.52730978,0.397206175
37,37,2013,3.26263172,52%,0.518199678,0.39340660899999996
38,38,2014,3.356192204,51%,0.509256002,0.389643388
39,39,2015,3.449752688,50%,0.50047552,0.385916166
40,40,2016,3.543313172,49%,0.491855066,0.38222459700000005
41,41,2017,3.636873656,48%,0.483391538,0.37856834100000003
42,42,2018,3.73043414,48%,0.475081901,0.37494705899999997
43,43,2019,3.823994624,47%,0.46692318,0.37136041799999997
44,44,2020,3.917555108,46%,0.458912463,0.367808085
45,45,2021,4.011115591,45%,0.451046894,0.36428973299999995
46,46,2022,4.104676075,44%,0.443323681,0.36080503700000005
47,47,2023,4.198236559,44%,0.435740084,0.357353674
48,48,2024,4.291797043,43%,0.428293423,0.353935326
49,49,2025,4.385357527,42%,0.42098107,0.350549677
50,50,2026,4.478918011,41%,0.413800452,0.347196415
51,51,2027,4.572478495,41%,0.406749047,0.343875228
52,52,2028,4.666038978,40%,0.399824387,0.34058581200000004
53,53,2029,4.759599462,39%,0.393024052,0.337327861
54,54,2030,4.853159946,39%,0.386345671,0.334101074
55,55,2031,4.94672043,38%,0.379786922,0.330905154
56,56,2032,5.040280913999999,37%,0.37334553,0.327739806
57,57,2033,5.133841398,37%,0.367019266,0.324604736
58,58,2034,5.227401882,36%,0.360805945,0.321499656
59,59,2035,5.320962366,35%,0.354703427,0.318424277
60,60,2036,5.414522849,35%,0.348709615,0.315378318
61,61,2037,5.508083332999999,34%,0.342822455,0.31236149399999996
62,62,2038,5.601643817,34%,0.337039933,0.30937353
63,63,2039,5.695204301,33%,0.331360076,0.30641414699999997
64,64,2040,5.788764785,33%,0.32578095,0.30348307199999996
65,65,2041,5.882325269,32%,0.32030066,0.300580036
66,66,2042,5.975885752999999,31%,0.31491735,0.297704769
67,67,2043,6.069446237,31%,0.309629201,0.294857007
68,68,2044,6.16300672,30%,0.304434427,0.292036485
69,69,2045,6.256567204,30%,0.299331283,0.28924294300000003
70,70,2046,6.350127688,29%,0.294318054,0.286476124
71,71,2047,6.443688172000001,29%,0.289393061,0.283735772
72,72,2048,6.537248656,28%,0.28455466,0.28102163199999997
73,73,2049,6.63080914,28%,0.279801236,0.27833345600000003
74,74,2050,6.724369624,28%,0.275131209,0.275670994
75,75,2051,6.817930108,27%,0.270543029,0.273034
76,76,2052,6.9114905910000015,27%,0.266035177,0.270422232
77,77,2053,7.005051075,26%,0.261606163,0.26783544600000003
78,78,2054,7.098611559,26%,0.257254528,0.265273405
79,79,2055,7.192172042999999,25%,0.252978841,0.262735872
